"Data Source","世界发展指标",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012",
"奥地利","AUT","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","",
"阿塞拜疆","AZE","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"布隆迪","BDI","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","",
"比利时","BEL","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","",
"贝宁","BEN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","",
"布基纳法索","BFA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","",
"孟加拉国","BGD","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"保加利亚","BGR","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"巴林","BHR","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"巴哈马","BHS","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","",
"波斯尼亚和黑塞哥维那","BIH","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"白俄罗斯","BLR","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","",
"伯利兹","BLZ","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",
"百慕大","BMU","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"玻利维亚","BOL","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"巴西","BRA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"巴巴多斯","BRB","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","",
"文莱达鲁萨兰国","BRN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"不丹","BTN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","",
"博茨瓦纳","BWA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","",
"","CAA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"中非共和国","CAF","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","",
"加拿大","CAN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"","CEA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","CEU","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"瑞士","CHE","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"海峡群岛","CHI","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"智利","CHL","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"中国","CHN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"科特迪瓦","CIV","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","",
"","CLA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","CME","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"喀麦隆","CMR","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","",
"刚果（布）","COG","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","",
"哥伦比亚","COL","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"科摩罗","COM","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"佛得角","CPV","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","",
"哥斯达黎加","CRI","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","",
"","CSA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"加勒比小国","CSS","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.608988412832358","",
"古巴","CUB","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"库拉索","CUW","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"开曼群岛","CYM","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"塞浦路斯","CYP","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"捷克共和国","CZE","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"德国","DEU","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"吉布提","DJI","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","",
"多米尼克","DMA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"丹麦","DNK","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"多米尼加共和国","DOM","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","",
"阿尔及利亚","DZA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"东亚与太平洋","EAP","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"东亚与太平洋地区（所有收入水平）","EAS","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"欧洲和中亚","ECA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.112362696529921","",
"欧洲与中亚地区（所有收入水平）","ECS","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.108796188569031","",
"厄瓜多尔","ECU","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"阿拉伯埃及共和国","EGY","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"欧洲货币联盟","EMU","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.109922901274952","",
"厄立特里亚","ERI","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","",
"西班牙","ESP","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"爱沙尼亚","EST","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","",
"埃塞俄比亚","ETH","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","",
"欧洲联盟","EUU","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.106161775726324","",
"芬兰","FIN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"斐济","FJI","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"法国","FRA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"法罗群岛","FRO","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"密克罗尼西亚联邦","FSM","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"加蓬","GAB","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","",
"英国","GBR","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"格鲁吉亚","GEO","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"加纳","GHA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","",
"几内亚","GIN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","",
"冈比亚","GMB","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","",
"几内亚比绍共和国","GNB","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",
"赤道几内亚","GNQ","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","",
"希腊","GRC","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"格林纳达","GRD","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"格陵兰","GRL","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"危地马拉","GTM","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","",
"关岛","GUM","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"圭亚那","GUY","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","",
"高收入国家","HIC","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.141760363021782","",
"中国香港特别行政区","HKG","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"洪都拉斯","HND","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"重债穷国 (HIPC)","HPC","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.88781881477681","",
"克罗地亚","HRV","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"海地","HTI","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","",
"匈牙利","HUN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"印度尼西亚","IDN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","",
"马恩岛","IMN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"印度","IND","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"未分类国家","INX","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"爱尔兰","IRL","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"伊朗伊斯兰共和国","IRN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"伊拉克","IRQ","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"冰岛","ISL","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"以色列","ISR","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"意大利","ITA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"牙买加","JAM","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","",
"约旦","JOR","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"日本","JPN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"哈萨克斯坦","KAZ","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"肯尼亚","KEN","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","",
"吉尔吉斯斯坦","KGZ","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","",
"柬埔寨","KHM","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"基里巴斯","KIR","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"圣基茨和尼维斯","KNA","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"大韩民国","KOR","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","",
"科索沃","KSV","艾滋病病毒感染率，女性（15-24岁的百分比）","SH.HIV.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
